,speaker,Text,minutes,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
662,Lacey Rose,Yeah.,73.95,Yeah.,1,1_yeah_ballsy_aw_huh,"['yeah', 'ballsy', 'aw', 'huh', 'man', 'hes', 'guys', 'over', 'look', 'you']","['Yeah, yeah.', 'Yeah.', 'Yeah.']",yeah - ballsy - aw - huh - man - hes - guys - over - look - you,0.5777602856739694,True
663,Jim Carrey,"I had two choices with you, admiration or jealousy and I chose admiration.",73.95,"I had two choices with you, admiration or jealousy and I chose admiration.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
664,Sacha Baron Cohen,"Oh, that's very kind.",74.06666666666666,"Oh, that's very kind.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
665,Lacey Rose,But I assume that is a navigation you make.,74.06666666666666,But I assume that is a navigation you make.,2,2_route_out_go_escape,"['route', 'out', 'go', 'escape', 'board', 'theres', 'moon', 'dive', 'front', 'gotta']","[""And we find out they're at the escape route."", ""To a cabinet minister. And then we're working out how to get out of the hotel. And you know, we've got a back route. We always have escape routes, but then we find out"", 'They\'re at the escape route so we ended up going through the front door, the main entrance, and the guy with me, he said, ""If anyone comes towards you, I\'m going to stop them."" I go, ""What does that mean?"" And he goes, ""I\'m gonna stop \'em."" I go, ""Is that legal?"" He goes, ""yes,"" and he goes, ""you just have to get from here ""from the elevator to that car."" And so a lot of, 80% of what I do is this getting in and getting out.']",route - out - go - escape - board - theres - moon - dive - front - gotta,1.0,False
666,Jim Carrey,"Yes, it is.",74.06666666666666,"Yes, it is.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
667,Lacey Rose,"And those are two, yeah.",74.06666666666666,"And those are two, yeah.",8,8_right_hush_snorted_correct,"['right', 'hush', 'snorted', 'correct', 'not', 'those', 'two', 'are', 'yeah', 'and']","['Right.', 'Right.', 'Right.']",right - hush - snorted - correct - not - those - two - are - yeah - and,0.3015001776253512,False
668,Jim Carrey,"When a new voice comes along and you've been the voice and you go, ooh, there's a part of you that goes, wow. You know, have you lost your place or something like that.",74.16666666666667,"When a new voice comes along and you've been the voice and you go, ooh, there's a part of you that goes, wow. You know, have you lost your place or something like that.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
669,Lacey Rose,Yeah?,74.28333333333333,Yeah?,1,1_yeah_ballsy_aw_huh,"['yeah', 'ballsy', 'aw', 'huh', 'man', 'hes', 'guys', 'over', 'look', 'you']","['Yeah, yeah.', 'Yeah.', 'Yeah.']",yeah - ballsy - aw - huh - man - hes - guys - over - look - you,0.7219026745040465,False
670,Don Cheadle,"Yeah, for sure.",74.28333333333333,"Yeah, for sure.",5,5_wow_mm_sure_balls,"['wow', 'mm', 'sure', 'balls', 'truly', 'meant', 'worst', 'theyre', 'didnt', 'mean']","['Wow, wow.', 'Wow.', 'Oh, wow.']",wow - mm - sure - balls - truly - meant - worst - theyre - didnt - mean,0.5843696170656195,False
671,Jim Carrey,"But it wasn't that. I've always tried to make the choice of like, what's this person doing?",74.28333333333333,"But it wasn't that. I've always tried to make the choice of like, what's this person doing?",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
672,Sacha Baron Cohen,"Oh, you were very gracious that night, yeah.",74.4,"Oh, you were very gracious that night, yeah.",0,0_was_of_show_said,"['was', 'of', 'show', 'said', 'at', 'years', 'like', 'know', 'he', 'entire']","[""I committed hubris. I thought not that I was great, but that it was such a big show and it was so international. It was everywhere. That I was going to go from mountaintop to mountaintop. I was going to beat the system. I looked down and there were grass stains on the knees of my jeans 'cause I slid right into the valley, it was very difficult to get hired as an actor, and I had no plan B. I was seven years old, I dreamt of doing this thing. I did it and I did it with an explosion. Now it's over and I had no idea how or what to do next."", ""And I'm in front, and I did a cartoon of myself tripping over the ottoman in front of the television, and those are the types of things that keep happening to me. I'm constantly being reminded, oh, I made it. Oh my gosh, that's wonderful. And the first time I think In Living Color was huge, was a huge thing for me and it was like they planted me, you know, my seedling in the garden and I had a chance to bloom on that show. So I got a taste of it there. And that time in Chicago when Siskel and Ebert hated my movie and then Friday happened and it was a giant hit, and the hotel staff where I was staying put a dog bowl in my room with candies in it."", ""Three days before it came out they had the words on a page. And I just looked and it said, the worst movie ever made. Worst actor ever made, this is the end. This is whatever. It was completely original. No one had seen it, so. It was so scathing. I've been disappointed so many times in my career I have an automatic downshift. I go, well, okay, don't know how it's gonna happen, but I'm gonna have to break a basement window or something. And what happened to my just absolute delight was that by the time I had done Truman Show Siskel and Ebert did an entire episode just about me and called it Jim Carrey, Clown With Class. And I get emotional thinking about that. It was incredible, like they just said, we were wrong. And I've never seen a critic say that. But of them said, we were wrong. We didn't know what we were seeing.""]",was - of - show - said - at - years - like - know - he - entire,0.7767692806525944,False
673,Jim Carrey,"That is making me feel uncomfortable and laugh my ass off. And it's admiration, and that's the only way to go you know.",74.4,"That is making me feel uncomfortable and laugh my ass off. And it's admiration, and that's the only way to go you know.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
674,Ted Danson,"Two things, this is I guess knowing that you're, whatever you wanna call it.",74.63333333333334,"Two things, this is I guess knowing that you're, whatever you wanna call it.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
675,Lacey Rose,Made it.,74.63333333333334,Made it.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
676,Ted Danson,"That you've made it is who you get to hang with, who you get to meet, you know, who are playing at relatively the same level is really exciting. Do you remember the People Magazine who's hot and who's not?",74.73333333333333,"That you've made it is who you get to hang with, who you get to meet, you know, who are playing at relatively the same level is really exciting. Do you remember the People Magazine who's hot and who's not?",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
677,Don Cheadle,"Oh, for sure.",74.85,"Oh, for sure.",5,5_wow_mm_sure_balls,"['wow', 'mm', 'sure', 'balls', 'truly', 'meant', 'worst', 'theyre', 'didnt', 'mean']","['Wow, wow.', 'Wow.', 'Oh, wow.']",wow - mm - sure - balls - truly - meant - worst - theyre - didnt - mean,0.6972021363489668,False
678,Ted Danson,"I never was who's hot, and I was always on who's not.  I kept thinking",74.85,"I never was who's hot, and I was always on who's not.  I kept thinking",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
679,Don Cheadle,"Not, not.",74.96666666666667,"Not, not.",8,8_right_hush_snorted_correct,"['right', 'hush', 'snorted', 'correct', 'not', 'those', 'two', 'are', 'yeah', 'and']","['Right.', 'Right.', 'Right.']",right - hush - snorted - correct - not - those - two - are - yeah - and,0.31182555823244074,False
680,Ted Danson,Didn't I have,75.06666666666666,Didn't I have,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
681,Jim Carrey,You got robbed!,75.06666666666666,You got robbed!,12,12_robbed_won_nominated_was,"['robbed', 'won', 'nominated', 'was', 'win', 'kids', 'before', 'feel', 'didnt', 'pressure']","['Yeah, and the mantle of you were robbed was taken from me when I won.  And you were robbed was kind of a nice...', ""I loved winning it. It sits on my dining room table, which is directly opposite the front door. So when the man delivers my Lipitor he gets to see it.  But that's it, I never thought, oh, I deserve it. I never thought, oh, it took so long. I thought, okay, in this moment I've won it. I'll tell you what I was not prepared for. When you're nominated you think that is great. Everybody says, oh my gosh, just to be nominated."", 'I never felt robbed. I was just happy that I won when I won. And when I turned around and I could feel the warmth and the pressure of having almost no time to give the speech and the only thing that I wrote 43 years ago was, kids, you can go to bed now, and of course the kids are now 35, 37, and 40, and 47.']",robbed - won - nominated - was - win - kids - before - feel - didnt - pressure,1.0,False
